timestamp,duration,hits,Hits/s,timeouts,Timeout/s,errors,Error/s,Net throughput,users,rxbytes,txbytes
5.006071,0.076154,10,,0,,0,,,5,226230,2450
10.018862,0.050023,40,5.984689966,0,0,0,0,5.984689966,9,904917,10045
15.048645,0.049979,89,9.741970976,0,0,0,0,9.741970976,13,2013441,22050
20.059271,0.048094,160,14.16988616,0,0,0,0,14.16988616,17,3619672,39200
25.07053,0.062694,249,17.76000801,0,0,0,0,17.76000801,21,5633119,61495
30.08091,0.050971,356,21.35566564,0,0,0,0,21.35566564,26,8053778,87220
35.091369,0.050409,488,26.34489176,0,0,0,0,26.34489176,30,11040009,120050
40.102333,0.056257,638,29.93435994,0,0,0,0,29.93435994,34,14433448,157045
45.11308,0.046911,804,33.12879297,0,0,0,0,33.12879297,38,18188847,197715
50.119086,0.044941,996,38.35392926,0,0,0,0,38.35392926,42,22532435,244265
55.126479,0.065176,1208,42.33739992,0,0,0,0,42.33739992,46,27328489,296205
60.137482,0.090996,1422,42.70602113,0,0,0,0,42.70602113,51,32169802,349125
65.26629,0.07913,1672,48.74426962,0,0,0,0,48.74426962,55,37825518,410620
70.293997,0.084473,1930,51.31563952,0,0,0,0,51.31563952,59,43662232,473340
75.303515,0.065744,2220,57.88980097,0,0,0,0,57.88980097,63,50222848,544390
80.312986,0.071235,2517,59.28769724,0,0,0,0,59.28769724,67,56941823,618135
85.322867,0.096841,2839,64.27298373,0,0,0,0,64.27298373,72,64226409,696045
90.332997,0.067152,3184,68.86048865,0,0,0,0,68.86048865,76,72031229,780080
95.343016,0.054727,3551,73.25321521,0,0,0,0,73.25321521,80,80333726,872445
100.372026,0.057475,3928,74.96505276,0,0,0,0,74.96505276,84,88862436,964810
105.382482,0.113125,4319,78.03680942,0,0,0,0,78.03680942,88,97708000,1059870
110.391838,0.077347,4739,83.84311277,0,0,0,0,83.84311277,92,107209582,1162280
115.401621,0.184697,5132,78.44651156,0,0,0,0,78.44651156,97,116100499,1261505
120.410849,0.342589,5478,69.07251976,0,0,0,0,69.07251976,101,123928241,1351175
125.420904,0.521917,5691,42.51450333,18,3.59277493,0,0,38.9217284,105,128747178,1414875
130.432033,0.504837,6012,64.05742099,28,1.995558286,9,1.796002458,60.26586025,109,136009490,1491805
135.443026,0.357702,6343,66.05477198,37,1.796051202,10,0.199561245,64.05915953,113,143498036,1578045
140.451183,0.385041,6707,72.68142752,65,5.59087904,11,0.199674251,66.89087423,118,151733121,1664285
145.504884,0.133047,7245,106.4566345,65,0,11,0,106.4566345,122,163904289,1795360
150.516753,0.135449,7786,107.9437631,65,0,11,0,107.9437631,126,176143207,1928640
155.528575,0.051995,8388,120.1159977,65,0,11,0,120.1159977,130,189761914,2075885
160.539288,0.060942,9010,124.1340304,65,0,11,0,124.1340304,134,203833151,2227785
165.567687,0.058898,9660,129.2657961,65,0,11,0,129.2657961,138,218537791,2385565
170.579003,0.082799,10308,129.3073516,65,0,11,0,129.3073516,143,233197282,2548735
175.590796,0.107518,10946,127.2997508,65,0,11,0,127.2997508,147,247630690,2706515
180.603523,0.261346,11441,98.7486452,65,0,11,0,98.7486452,151,258829298,2838815
185.615202,0.802252,11640,39.7072518,92,5.387416074,20,1.795805358,32.52403037,155,263331551,2909620
190.6264,0.606031,11972,66.25162287,162,13.96871566,21,0.199553081,52.08335412,159,270842765,2998065
195.638854,0.500446,12532,111.7217235,163,0.199503078,21,0,111.5222205,163,283511989,3131590
200.671847,0.33071,12940,81.06508394,208,8.941001905,21,0,72.12408203,168,292742550,3247475
205.68289,0.311994,13307,73.23824601,268,11.97355521,21,0,61.2646908,172,301045532,3349395
210.693918,0.330004,13780,94.39180943,307,7.782834181,39,3.592077314,83.01689793,176,311746549,3475570
215.719279,0.373078,14368,117.0065195,307,0,48,1.790916115,115.2156034,180,325049246,3627225
220.780608,1.683177,14548,35.56378177,307,0,80,6.322450092,29.24133167,184,329121674,3686025
225.792099,0.995746,14603,10.97477777,389,16.36239594,94,2.793579795,-8.181197971,189,330366005,3736250
230.803903,0.385913,15211,121.3136028,469,15.96231616,134,7.981158082,97.3701286,193,344121028,3883740
235.837938,0.545662,15727,102.5022671,469,0,140,1.191886826,101.3103802,197,355794888,4037110
240.850241,0.671239,16151,84.59185329,494,4.987727198,182,8.379381693,71.22474439,201,365387410,4140255
245.882256,0.584366,16803,129.570361,494,0,190,1.58982038,127.9805406,205,380138025,4289950
250.893543,0.206227,17629,164.8279175,494,0,193,0.598648611,164.2292688,210,398824781,4500160
255.905982,0.483795,18374,148.6302377,494,0,193,0,148.6302377,214,415679109,4672395
260.929049,0.352295,19160,156.4781039,494,0,193,0,156.4781039,218,433460719,4869620
265.954342,0.246658,20060,179.0940349,494,0,193,0,179.0940349,222,453821525,5085220
270.966166,0.110957,21061,199.727684,494,0,193,0,199.727684,226,476466847,5333160
276.001263,0.12189,22096,205.5571124,494,0,193,0,205.5571124,230,499881366,5585265
281.013136,0.138025,23110,202.3195719,494,0,193,0,202.3195719,235,522820825,5832960
286.02475,0.102975,24129,203.3277104,494,0,193,0,203.3277104,239,545873370,6098785
291.037012,0.173661,25207,215.0725561,494,0,193,0,215.0725561,243,570260782,6347460
296.04951,0.058064,26373,232.6185467,494,0,193,0,232.6185467,247,596638487,6630435
301.061839,0.268763,27134,151.8256284,494,0,193,0,151.8256284,2,613854576,6816635
306.074138,0.268763,27134,0,494,0,193,0,0,0,613854576,6816635
